URN,Income,Expenditure,Balance,Academic Year
100839,1466969.5,1406294.25,60675.25,2014
100840,1284446.88,1295759.69,-11312.81,2014
100841,1383748.31,1352062.03,31686.28,2014
134903,3414838.68,3437514.62,-22675.94,2014
100849,6592946.64,6486381.78,106564.86,2014
100851,2484557.53,2514298.77,-29741.24,2014
100852,2077182.24,1936460.62,140721.62,2014
100853,1603660.79,1531903.3,71757.49,2014
100854,1265753.05,1301128.48,-35375.43,2014
100855,1447136.3,1512373.45,-65237.15,2014
100816,2037186.76,2062413.48,-25226.72,2014
131318,2858783,2678670.79,180112.21,2014
100857,5626772.19,5127310,499462.19,2014
100859,5366342.94,5088586.47,277756.47,2014
100872,2534125.77,2534649.25,-523.48,2014
100873,2894575.43,2955433.75,-60858.32,2014
100875,808716.39,810698.08,-1981.69,2014
100876,1157244.82,1084870.52,72374.3,2014
100878,2005705.97,1973146.62,32559.35,2014
100879,1112050.32,1127062.88,-15012.56,2014
100880,2237264.57,2282793.99,-45529.42,2014
100881,1803704.08,1752002.71,51701.37,2014
100882,700228.03,722857.01,-22628.98,2014
100884,788795.49,822565.68,-33770.19,2014
100885,1286776.65,1225534.48,61242.17,2014
100886,777037.47,779962.08,-2924.61,2014
100887,651929.61,648555.92,3373.69,2014
100888,770102.03,824419.05,-54317.02,2014
100889,5087418.94,4750736.94,336682,2014
131936,2970086.71,2954919.6,15167.11,2014
133288,2664351.52,2680152.16,-15800.64,2014
133574,3396311.38,3175305.38,221006,2014
134160,3826073.29,3801369.94,24703.35,2014
100890,3837688.01,3814642.1,23045.91,2014
100891,3893405.28,3822661.77,70743.51,2014
100892,2742063.53,3015392.33,-273328.8,2014
100893,2050040.82,1897653.15,152387.67,2014
100894,3653294.45,3635829.57,17464.88,2014
100895,2350591.29,2469807.29,-119216,2014
100896,2439459.14,2500789.43,-61330.29,2014
100897,2968943.65,2904420.63,64523.02,2014
100898,2403298.89,2219406.11,183892.78,2014
100900,3696798.83,3576286.79,120512.04,2014
100901,3317272.17,3217799.78,99472.39,2014
100902,2696107.99,2812419.81,-116311.82,2014
100903,1718041.94,1711375.03,6666.91,2014
100904,2411219.28,2397084.71,14134.57,2014
100906,3220661.99,3218279.79,2382.2,2014
100907,1942482.79,1982562.5,-40079.71,2014
100908,1781102.67,1781180.28,-77.61,2014
100911,3477933.35,3397825.86,80107.49,2014
100912,3838796.65,3867808.98,-29012.33,2014
100913,2310333.38,2304449.01,5884.37,2014
100914,1981115.97,1850198.91,130917.06,2014
