URN,KS4 Pupils,KS4 Boys,KS4 Girls,Progress 8,Progress 8 Boys,Progress 8 Girls,Attainment 8,Attainment 8 Boys,Attainment 8 Girls,Eng Maths Grade 5,Entering EBacc,EBacc Avg Score,EBacc Avg Boys,EBacc Avg Girls,EBacc Grade 5,Progress 8 Band,P8 Desc,Academic Year
104964,172,85,87,0.15,-0.01,0.3,50.1,49.3,50.8,41%,25%,,,,16%,,,2017
137520,142,62,80,-0.39,-0.53,-0.28,43.9,41.3,45.9,27%,39%,,,,14%,,,2017
137514,189,95,94,0.39,0.14,0.63,50.9,48.4,53.4,43%,47%,,,,27%,,,2017
104960,253,127,126,-0.22,-0.43,-0.01,47.3,45.4,49.2,36%,31%,,,,19%,,,2017
104974,68,,68,,,,56.2,,56.2,0%,0%,,,,0%,,,2017
141338,107,63,44,-0.14,-0.43,0.25,41.1,40,42.7,27%,19%,,,,7%,,,2017
144618,,,,,,,,,,,,,,,,,,2017
141693,179,100,79,-0.66,-0.73,-0.58,38.6,37.4,40.1,28%,79%,,,,23%,,,2017
141694,169,75,94,-0.48,-0.48,-0.48,41.5,39.5,43,24%,30%,,,,10%,,,2017
137604,164,,164,0.18,,0.18,50.8,,50.8,54%,73%,,,,40%,,,2017
104962,134,85,49,-0.12,-0.34,0.25,47.4,45.8,50.1,38%,35%,,,,18%,,,2017
104973,89,89,,,,,44.3,44.3,,0%,0%,,,,0%,,,2017
136088,2,,,,,,,,,,,,,,,,,2017
105110,231,130,101,-0.22,-0.34,-0.07,40,39.3,41,18%,17%,,,,7%,,,2017
105107,154,74,80,0,-0.36,0.32,43.5,40.7,46.1,31%,21%,,,,8%,,,2017
105121,12,10,2,,,,40.6,,,33%,0%,,,,0%,,,2017
137476,158,158,,-0.12,-0.12,,62,62,,84%,88%,,,,66%,,,2017
105131,19,13,6,,,,,,,,,,,,,,,2017
136411,102,56,46,-0.52,-0.49,-0.55,38.2,37.8,38.7,21%,19%,,,,10%,,,2017
141131,90,46,44,-0.74,-1.11,-0.35,35.1,31,39.3,17%,4%,,,,0%,,,2017
137929,140,,140,0.91,,0.91,65,,65,82%,96%,,,,66%,,,2017
105106,139,108,31,-0.19,-0.27,0.09,39.6,39.5,40,22%,45%,,,,11%,,,2017
105130,15,15,,-2.39,-2.39,,6.1,6.1,,0%,0%,,,,0%,,,2017
143554,,,,,,,,,,,,,,,,,,2017
105137,12,10,2,-2.21,,,12.1,,,8%,0%,,,,0%,,,2017
105123,55,38,17,,,,53.9,53.6,54.8,0%,0%,,,,0%,,,2017
135877,104,,104,0.44,,0.44,49.3,,49.3,33%,29%,,,,13%,,,2017
137171,171,,171,0.48,,0.48,68.5,,68.5,88%,87%,,,,75%,,,2017
105129,37,22,15,-0.91,-0.94,-0.86,10.9,11.4,10.1,0%,0%,,,,0%,,,2017
105101,152,69,83,0.14,-0.06,0.29,45.1,43.4,46.5,33%,18%,,,,7%,,,2017
138853,274,157,117,0.04,-0.08,0.19,43.9,42.8,45.4,34%,63%,,,,18%,,,2017
139144,203,203,,-0.08,-0.08,,63.2,63.2,,88%,95%,,,,76%,,,2017
137243,176,,176,0.48,,0.48,68.1,,68.1,94%,74%,,,,66%,,,2017
105097,109,73,36,-0.17,-0.26,0.01,40.7,38.9,44.3,25%,24%,,,,9%,,,2017
139031,214,130,84,0.71,0.62,0.86,50.5,49.7,51.7,34%,74%,,,,27%,,,2017
137815,199,,199,0.23,,0.23,46,,46,33%,35%,,,,18%,,,2017
138355,168,113,55,-0.3,-0.43,-0.06,40,39.8,40.4,26%,16%,,,,4%,,,2017
105133,5,,,,,,,,,,,,,,,,,2017
105103,121,121,,-0.57,-0.57,,38.2,38.2,,17%,3%,,,,2%,,,2017
127715,13,11,2,-1.86,,,7.5,,,0%,0%,,,,0%,,,2017
136780,144,144,,-0.09,-0.09,,56.3,56.3,,72%,90%,,,,57%,,,2017
136895,91,58,33,-0.1,-0.09,-0.11,41.2,40.6,42.3,30%,4%,,,,0%,,,2017
137130,121,,121,-0.03,,-0.03,43,,43,33%,36%,,,,21%,,,2017
105262,161,83,78,-0.49,-0.61,-0.38,47.6,46.8,48.5,50%,23%,,,,16%,,,2017
105271,133,133,,,,,37.1,37.1,,0%,0%,,,,0%,,,2017
135770,140,94,46,-0.1,-0.09,-0.12,39.4,40.3,37.5,31%,26%,,,,6%,,,2017
134646,162,80,82,-0.09,-0.32,0.17,44.7,42.2,47.2,38%,20%,,,,14%,,,2017
141941,115,78,37,-0.5,-0.3,-0.91,41.7,42.4,40.2,35%,88%,,,,13%,,,2017
105267,266,127,139,-0.06,-0.45,0.3,53.7,49.5,57.6,62%,53%,,,,32%,,,2017
105269,6,3,3,,,,2.7,,,0%,0%,,,,0%,,,2017
105276,11,7,4,-1.79,,,7.5,,,0%,0%,,,,0%,,,2017
142535,2,,,,,,,,,,,,,,,,,2017
105280,6,2,4,,,,,,,,,,,,,,,2017
105264,224,111,113,0.25,0.1,0.39,48.4,45.2,51.6,37%,37%,,,,22%,,,2017
138498,2,,,,,,,,,,,,,,,,,2017
142296,174,77,97,-0.33,-0.39,-0.27,40,38.9,40.9,26%,14%,,,,4%,,,2017
105261,273,160,113,-0.6,-0.84,-0.27,40.8,37.3,45.9,34%,19%,,,,11%,,,2017
136135,69,31,38,-0.83,-0.98,-0.73,37.2,35.6,38.5,29%,90%,,,,4%,,,2017
105253,238,126,112,-0.2,-0.37,0,47.2,44.1,50.8,53%,22%,,,,14%,,,2017
105272,104,,104,,,,55.5,,55.5,0%,0%,,,,0%,,,2017
142340,118,,118,0.91,,0.91,56.2,,56.2,64%,84%,,,,54%,,,2017
105263,176,89,87,0.06,-0.27,0.4,43.4,39.5,47.3,32%,28%,,,,17%,,,2017
140500,208,117,91,-0.46,-0.5,-0.41,39.2,38.6,39.9,25%,57%,,,,14%,,,2017
140959,,,,,,,,,,,,,,,,,,2017
105252,167,77,90,-0.41,-0.68,-0.18,42.8,39.6,45.5,38%,22%,,,,10%,,,2017
142766,17,16,1,-2.49,,,3.1,,,0%,0%,,,,0%,,,2017
105266,198,107,91,-0.11,-0.19,-0.03,51.5,50.6,52.6,57%,51%,,,,27%,,,2017
105277,26,15,11,-1.6,-1.58,-1.63,1.3,1.5,0.9,0%,0%,,,,0%,,,2017
135981,133,75,58,-0.65,-0.76,-0.51,35.4,31.4,40.6,15%,10%,,,,2%,,,2017
130285,27,27,,,,,40.2,40.2,,30%,0%,,,,0%,,,2017
142232,125,74,51,0.34,0.22,0.52,49.5,47.9,51.7,48%,42%,,,,30%,,,2017
105278,13,9,4,,,,,,,,,,,,,,,2017
133285,19,,19,,,,52.8,,52.8,79%,0%,,,,0%,,,2017
105257,242,118,124,-0.52,-0.7,-0.35,38,36,39.8,27%,31%,,,,11%,,,2017
143026,13,10,3,,,,,,,,,,,,,,,2017
105373,53,53,,,,,19.6,19.6,,0%,0%,,,,0%,,,2017
105362,152,79,73,-0.42,-0.61,-0.22,39.4,38.5,40.3,24%,20%,,,,11%,,,2017
105365,153,70,83,-0.23,-0.38,-0.12,48.4,47.8,48.9,44%,80%,,,,25%,,,2017
105360,168,78,90,0.28,0.16,0.39,47.4,45.4,49,35%,53%,,,,26%,,,2017
105374,48,0,48,,,,67.7,,67.7,83%,75%,,,,69%,,,2017
105354,196,94,102,0.34,0.17,0.49,51,48.3,53.6,45%,47%,,,,33%,,,2017
143848,,,,,,,,,,,,,,,,,,2017
142675,17,3,14,,,,,,,,,,,,,,,2017
105364,108,53,55,-1.12,-1.38,-0.89,32.8,30.6,34.8,12%,44%,,,,11%,,,2017
105355,157,82,75,0.34,0.25,0.43,46.3,46.9,45.7,30%,45%,,,,20%,,,2017
105358,164,87,77,-0.05,-0.24,0.16,47.8,45.8,50.1,46%,68%,,,,31%,,,2017
105363,141,73,68,-0.01,-0.18,0.18,45.7,42.9,48.8,39%,12%,,,,4%,,,2017
105372,30,30,,,,,49.3,49.3,,53%,97%,,,,10%,,,2017
140205,3,,,,,,,,,,,,,,,,,2017
105367,205,113,92,-0.15,-0.39,0.14,48.6,46.1,51.8,53%,34%,,,,20%,,,2017
105378,26,14,12,-1.56,-1.74,-1.39,2,1.6,2.5,0%,0%,,,,0%,,,2017
134195,36,36,,-0.54,-0.54,,47.7,47.7,,25%,8%,,,,8%,,,2017
105366,209,91,118,-0.25,-0.61,0.05,49,45.2,51.9,37%,38%,,,,20%,,,2017
105357,189,110,79,-0.4,-0.63,-0.08,44.4,42.2,47.6,34%,28%,,,,14%,,,2017
105361,213,108,105,-0.17,-0.43,0.09,49.5,44.2,55,49%,54%,,,,37%,,,2017
135875,111,59,52,-0.68,-1.07,-0.24,37.9,35,41.2,13%,7%,,,,2%,,,2017
135948,12,8,4,,,,9.6,,,0%,0%,,,,0%,,,2017
144755,,,,,,,,,,,,,,,,,,2017
138532,16,12,4,,,,,,,,,,,,,,,2017
105594,81,49,32,,,,29.1,24.3,36.4,0%,0%,,,,0%,,,2017
131015,37,37,,,,,18.5,18.5,,0%,0%,,,,0%,,,2017
132905,21,15,6,,,,,,,,,,,,,,,2017
105622,15,15,0,,,,,,,,,,,,,,,2017
144744,,,,,,,,,,,,,,,,,,2017
137309,116,56,60,0.6,0.27,0.88,63,61.3,64.5,78%,49%,,,,40%,,,2017
142762,146,61,85,-0.41,-0.8,-0.16,37.1,31.3,41.2,21%,15%,,,,8%,,,2017
131979,17,17,,,,,49.5,49.5,,41%,53%,,,,29%,,,2017
135027,3,,,,,,,,,,,,,,,,,2017
141805,14,11,3,,,,,,,,,,,,,,,2017
134224,155,100,55,-0.14,-0.3,0.17,36.9,36.1,38.3,30%,12%,,,,1%,,,2017
136264,16,10,6,,,,,,,,,,,,,,,2017
136105,187,97,90,0.35,0.28,0.43,47.2,48.3,46,33%,24%,,,,12%,,,2017
139456,149,72,77,-0.71,-1,-0.44,37.9,35.7,40,30%,30%,,,,7%,,,2017
105601,25,16,9,,,,7.7,7.9,7.4,0%,0%,,,,0%,,,2017
105604,3,,,,,,,,,,,,,,,,,2017
138097,115,72,43,-0.89,-0.95,-0.8,30.2,27.8,34.2,16%,11%,,,,3%,,,2017
139148,288,155,133,0.31,0.17,0.47,50.7,46.7,55.3,43%,60%,,,,35%,,,2017
136174,152,70,82,0.03,-0.04,0.08,43.8,43.6,43.9,30%,18%,,,,7%,,,2017
137887,23,17,6,,,,,,,,,,,,,,,2017
105588,28,19,9,,,,41.6,41.3,42.1,0%,0%,,,,0%,,,2017
131880,173,97,76,-0.05,0.12,-0.26,43.7,42.9,44.7,27%,28%,,,,9%,,,2017
142893,2,,,,,,,,,,,,,,,,,2017
141107,39,20,19,-1.06,-1.35,-0.79,39.3,38.6,40,21%,5%,,,,3%,,,2017
140703,173,173,,0.25,0.25,,42.4,42.4,,41%,28%,,,,19%,,,2017
141392,158,86,72,-0.72,-0.85,-0.57,35.8,34,37.9,15%,27%,,,,8%,,,2017
105591,172,172,,,,,19,19,,0%,0%,,,,0%,,,2017
105608,7,5,2,,,,,,,,,,,,,,,2017
136242,4,,,,,,,,,,,,,,,,,2017
105581,165,82,83,0.09,0.02,0.16,47.6,46.7,48.5,41%,35%,,,,19%,,,2017
105592,87,,87,,,,77.5,,77.5,99%,76%,,,,75%,,,2017
105577,214,94,120,-0.72,-1.02,-0.5,40.6,37.7,42.8,29%,37%,,,,20%,,,2017
135874,107,48,59,-0.53,-0.7,-0.4,37.1,37.2,37.1,18%,50%,,,,15%,,,2017
141264,265,,265,0.56,,0.56,48.3,,48.3,47%,60%,,,,36%,,,2017
105574,132,75,57,-0.48,-0.19,-0.87,38.9,41.5,35.5,28%,28%,,,,7%,,,2017
105564,247,131,116,0.45,0.24,0.67,46.7,42.9,51,38%,36%,,,,17%,,,2017
105595,70,,70,,,,65.1,,65.1,0%,0%,,,,0%,,,2017
137801,233,123,110,0.32,0.1,0.57,52.2,48.9,55.9,46%,15%,,,,10%,,,2017
141196,192,,192,0.66,,0.66,50.9,,50.9,48%,70%,,,,40%,,,2017
105614,27,22,5,-2.74,,,6.5,,,0%,0%,,,,0%,,,2017
144745,,,,,,,,,,,,,,,,,,2017
105576,130,71,59,-0.38,-0.5,-0.17,42.4,38.9,46.6,38%,22%,,,,11%,,,2017
105560,241,126,115,0.5,0.24,0.77,43.6,39.8,47.8,39%,22%,,,,13%,,,2017
143260,280,163,117,0.15,0.13,0.17,50.1,48,53,45%,56%,,,,25%,,,2017
105623,21,20,1,-1.49,,,14.7,,,0%,0%,,,,0%,,,2017
141884,,,,,,,,,,,,,,,,,,2017
135296,119,61,58,0.49,0.17,0.8,52.9,49.6,56.3,56%,33%,,,,25%,,,2017
144494,165,84,81,-0.79,-1.17,-0.39,35.7,31.5,40.1,17%,21%,,,,5%,,,2017
142224,7,4,3,,,,6.9,,,0%,0%,,,,0%,,,2017
130318,47,,47,,,,63.1,,63.1,77%,62%,,,,40%,,,2017
141680,26,20,6,,,,13.8,12.9,16.8,0%,0%,,,,0%,,,2017
140388,5,,,,,,,,,,,,,,,,,2017
136027,225,117,108,-0.52,-0.7,-0.35,39.7,38.3,41.2,29%,54%,,,,12%,,,2017
105734,222,103,119,-0.92,-1.38,-0.53,35.4,31.2,39.1,18%,14%,,,,6%,,,2017
137294,199,92,107,-0.18,-0.44,0.04,51.1,48.8,53.1,60%,58%,,,,37%,,,2017
105736,268,132,136,-0.04,-0.14,0.06,49.2,47.9,50.5,51%,29%,,,,19%,,,2017
105735,280,149,131,-0.56,-0.73,-0.38,42.3,40.5,44.3,29%,19%,,,,8%,,,2017
138568,16,16,,,,,38.9,38.9,,44%,94%,,,,6%,,,2017
133368,7,7,0,-2.3,-2.3,,9.8,9.8,,0%,0%,,,,0%,,,2017
131751,3,,,,,,,,,,,,,,,,,2017
137039,204,116,88,0.34,0.02,0.76,47.2,43.7,51.7,37%,12%,,,,6%,,,2017
137822,20,,20,,,,50,,50,40%,55%,,,,30%,,,2017
140542,39,34,5,-1.79,,,23.6,,,8%,0%,,,,0%,,,2017
137133,216,105,111,0.44,0.23,0.64,56.5,55.6,57.3,61%,84%,,,,53%,,,2017
138697,35,20,15,-1.69,-1.6,-1.82,0.4,0.8,0,0%,0%,,,,0%,,,2017
136432,275,133,142,-0.13,-0.28,0.01,44.8,43.1,46.5,39%,35%,,,,15%,,,2017
105738,296,148,148,0.02,-0.29,0.33,43.8,40.5,47.1,43%,8%,,,,6%,,,2017
105745,65,28,37,,,,47.6,43,51,0%,0%,,,,0%,,,2017
141248,236,129,107,-0.04,-0.38,0.35,45,42.1,48.6,38%,3%,,,,2%,,,2017
144627,,,,,,,,,,,,,,,,,,2017
144508,248,132,116,-0.57,-0.8,-0.31,36.7,34.8,38.9,25%,9%,,,,4%,,,2017
105748,1,,,,,,,,,,,,,,,,,2017
136115,157,71,86,0.8,0.46,1.08,45.5,39.9,50,27%,6%,,,,1%,,,2017
105837,241,118,123,-0.14,-0.33,0.04,41.5,40.3,42.5,36%,15%,,,,8%,,,2017
143319,192,99,93,0.08,0.06,0.1,47.5,46.3,48.7,37%,13%,,,,8%,,,2017
135202,33,24,9,,,,,,,,,,,,,,,2017
105839,144,69,75,-0.01,-0.13,0.09,44.4,40.6,48,38%,15%,,,,9%,,,2017
134575,19,2,17,,,,47,,,47%,68%,,,,26%,,,2017
105855,13,9,4,,,,49.3,,,38%,92%,,,,38%,,,2017
140055,204,97,107,-0.08,-0.19,0.02,43.3,41.8,44.7,32%,20%,,,,6%,,,2017
135753,3,,,,,,,,,,,,,,,,,2017
105840,234,117,117,0,-0.19,0.2,46.6,44.1,49.2,40%,48%,,,,24%,,,2017
105844,167,84,83,-0.11,-0.35,0.12,45.2,43.2,47.3,20%,26%,,,,11%,,,2017
140091,234,123,111,0.38,0.19,0.57,50.8,47.7,54.3,53%,24%,,,,14%,,,2017
105845,206,107,99,-0.41,-0.54,-0.27,40.6,40.5,40.6,35%,12%,,,,8%,,,2017
135313,108,49,59,-0.22,-0.28,-0.18,43.8,40.8,46.3,29%,18%,,,,7%,,,2017
105861,16,12,4,-2.58,,,3.8,,,0%,0%,,,,0%,,,2017
131726,110,67,43,0.26,-0.02,0.7,49.5,46.7,53.8,52%,33%,,,,23%,,,2017
105834,176,93,83,-0.87,-1.11,-0.62,35.4,32.2,39,21%,10%,,,,5%,,,2017
136257,4,,,,,,,,,,,,,,,,,2017
131379,3,,,,,,,,,,,,,,,,,2017
135795,171,96,75,-0.56,-0.7,-0.38,32.7,31.5,34.3,15%,8%,,,,4%,,,2017
143059,128,62,66,-0.56,-0.69,-0.44,40.3,38.3,42.1,20%,52%,,,,9%,,,2017
105992,41,21,20,,,,49.9,50.4,49.4,41%,46%,,,,24%,,,2017
105976,160,78,82,-0.45,-0.76,-0.16,39.9,38.9,40.9,26%,16%,,,,6%,,,2017
135661,70,33,37,0.05,-0.34,0.37,40.7,36.6,44.5,19%,20%,,,,4%,,,2017
133351,118,60,58,-0.37,-0.55,-0.19,39.5,37.4,41.6,17%,30%,,,,5%,,,2017
106010,17,9,8,,,,,,,,,,,,,,,2017
135168,21,21,,,,,3.6,3.6,,0%,0%,,,,0%,,,2017
105996,45,1,44,,,,33.5,,,0%,0%,,,,0%,,,2017
138418,147,64,83,-0.77,-0.96,-0.6,33.5,32.6,34.2,18%,13%,,,,6%,,,2017
141968,15,,15,,,,51.3,,51.3,93%,0%,,,,0%,,,2017
138698,45,,45,0.9,,0.9,55.5,,55.5,58%,38%,,,,29%,,,2017
135071,101,48,53,-0.18,-0.69,0.28,40.8,33.6,47.2,21%,9%,,,,4%,,,2017
136987,125,75,50,-0.82,-1.16,-0.36,37.7,33.5,44,31%,58%,,,,18%,,,2017
142073,,,,,,,,,,,,,,,,,,2017
142010,83,52,31,-1.23,-1.08,-1.47,37.2,36,39,22%,20%,,,,5%,,,2017
131512,112,54,58,-0.03,-0.36,0.3,40.7,39.3,41.9,25%,25%,,,,14%,,,2017
106004,4,,,,,,,,,,,,,,,,,2017
138130,28,20,8,-1.5,-1.59,-1.26,4,3.5,5.3,0%,0%,,,,0%,,,2017
105977,178,98,80,-0.23,-0.42,0,46.7,44.6,49.4,47%,41%,,,,17%,,,2017
105975,237,119,118,-0.41,-0.77,-0.06,44.4,39.3,49.5,38%,66%,,,,24%,,,2017
136086,15,,15,,,,2.9,,2.9,0%,0%,,,,0%,,,2017
105986,175,81,94,0.35,0.19,0.5,53.8,49.3,57.7,65%,75%,,,,50%,,,2017
105989,203,100,103,-0.2,-0.29,-0.11,45,42.7,47.3,37%,43%,,,,20%,,,2017
106011,23,18,5,-2.71,,,6.7,,,0%,0%,,,,0%,,,2017
105982,105,55,50,0.42,0.07,0.78,48.8,46.7,51.1,34%,62%,,,,24%,,,2017
106136,189,80,109,-0.82,-1.03,-0.67,36.7,34.2,38.5,20%,10%,,,,2%,,,2017
106143,166,94,72,-0.17,-0.17,-0.17,46.1,45.9,46.3,37%,37%,,,,24%,,,2017
106156,135,72,63,,,,27.5,25.3,30,0%,0%,,,,0%,,,2017
137843,259,133,126,0.7,0.51,0.91,59,56.9,61.1,68%,68%,,,,49%,,,2017
106173,12,10,2,,,,,,,,,,,,,,,2017
145133,,,,,,,,,,,,,,,,,,2017
137923,184,93,91,0.17,-0.08,0.42,49.5,47.4,51.5,40%,9%,,,,4%,,,2017
106139,229,124,105,-0.1,-0.11,-0.08,49.5,49.9,49,54%,48%,,,,36%,,,2017
142225,10,8,2,,,,3.6,,,0%,0%,,,,0%,,,2017
106135,215,115,100,0.38,0.04,0.77,48.6,46,51.5,46%,82%,,,,34%,,,2017
137885,197,89,108,0.35,0.1,0.54,46.6,42.6,49.9,30%,21%,,,,10%,,,2017
106144,110,65,45,-0.24,-0.31,-0.11,43.7,43.6,43.8,32%,11%,,,,6%,,,2017
142509,284,133,151,0.04,-0.06,0.12,49.2,48.1,50.1,48%,28%,,,,21%,,,2017
106172,33,23,10,-1.57,-1.61,-1.47,3.1,2.9,3.4,0%,0%,,,,0%,,,2017
106133,238,122,116,0.23,0.04,0.42,52.4,49.8,55.2,50%,59%,,,,32%,,,2017
106157,164,95,69,,,,22,19.5,25.5,1%,1%,,,,1%,,,2017
106162,22,16,6,,,,2.9,3.1,2.3,0%,0%,,,,0%,,,2017
135526,1,,,,,,,,,,,,,,,,,2017
131551,8,8,0,,,,,,,,,,,,,,,2017
131889,9,8,1,-2.75,,,1.1,,,0%,0%,,,,0%,,,2017
106142,159,74,85,0.02,-0.03,0.07,50.8,50.4,51.2,47%,58%,,,,30%,,,2017
106150,15,11,4,,,,26,,,7%,0%,,,,0%,,,2017
106138,262,111,151,0.17,-0.1,0.37,52,48.3,54.8,55%,71%,,,,39%,,,2017
106166,6,4,2,,,,,,,,,,,,,,,2017
106151,41,28,13,,,,41.6,40.7,43.5,39%,15%,,,,7%,,,2017
134064,18,16,2,-2.45,,,3.6,,,0%,0%,,,,0%,,,2017
134493,9,4,5,,,,38.8,,,0%,0%,,,,0%,,,2017
135262,99,35,64,0.25,-0.05,0.41,47.8,42.4,50.7,35%,32%,,,,12%,,,2017
135864,178,83,95,-0.47,-0.73,-0.25,40.7,35.2,45.6,35%,31%,,,,19%,,,2017
106271,152,74,78,0.26,0.09,0.42,53.2,50.2,56.1,49%,50%,,,,37%,,,2017
135122,163,63,100,-0.3,-0.67,-0.07,38.4,33.3,41.7,22%,12%,,,,5%,,,2017
106267,140,43,97,-0.13,-0.51,0.04,46.7,44.4,47.8,44%,76%,,,,34%,,,2017
106266,151,59,92,0.07,0.11,0.05,51.7,50.5,52.4,57%,66%,,,,40%,,,2017
139294,135,57,78,-0.53,-0.71,-0.41,38.4,35,40.8,17%,10%,,,,3%,,,2017
106276,14,3,11,,,,50.5,,,50%,29%,,,,21%,,,2017
106269,121,51,70,-0.77,-1.01,-0.6,35.5,32.1,38,26%,20%,,,,6%,,,2017
135975,2,,,,,,,,,,,,,,,,,2017
106268,146,80,66,-0.26,-0.35,-0.16,40.4,38.3,42.9,34%,5%,,,,3%,,,2017
106270,156,67,89,0.46,0.23,0.63,55.8,54.1,57.1,62%,69%,,,,49%,,,2017
106279,6,1,5,,,,,,,,,,,,,,,2017
139735,100,37,63,-0.76,-1,-0.62,33.8,29.9,36.2,14%,16%,,,,3%,,,2017
135508,258,126,132,-0.5,-0.75,-0.27,38.7,35.4,41.8,27%,12%,,,,6%,,,2017
106280,21,14,7,-1.71,-1.65,-1.81,0.1,0,0.3,0%,0%,,,,0%,,,2017
136593,189,,189,0.53,,0.53,54.9,,54.9,59%,52%,,,,37%,,,2017
144622,,,,,,,,,,,,,,,,,,2017
130913,1,,,,,,,,,,,,,,,,,2017
137020,162,162,,0.26,0.26,,50.4,50.4,,45%,8%,,,,7%,,,2017
136273,179,179,,-0.14,-0.14,,48.4,48.4,,47%,17%,,,,9%,,,2017
134283,150,87,63,0.18,-0.07,0.52,48.5,47.8,49.5,49%,15%,,,,9%,,,2017
106365,50,21,29,-0.53,-0.69,-0.43,37.8,36.4,38.8,22%,6%,,,,2%,,,2017
134469,14,0,14,,,,48.5,,48.5,50%,71%,,,,21%,,,2017
136297,128,65,63,0.13,-0.12,0.34,68.4,66.2,70.6,91%,83%,,,,77%,,,2017
138134,151,151,,0.41,0.41,,68.8,68.8,,99%,58%,,,,52%,,,2017
131885,24,21,3,-3.25,,,3.5,,,0%,0%,,,,0%,,,2017
106372,83,42,41,-0.33,-0.54,-0.1,39.7,38.8,40.6,24%,2%,,,,1%,,,2017
106376,178,85,93,0.31,0.15,0.46,48.1,45.2,50.7,46%,26%,,,,12%,,,2017
106370,157,99,58,-0.24,-0.45,0.12,42.6,38.6,49.5,31%,24%,,,,11%,,,2017
136965,136,,136,-0.01,,-0.01,48.1,,48.1,49%,15%,,,,10%,,,2017
143104,40,23,17,-0.3,-0.69,-0.01,43.2,42.4,44.4,45%,23%,,,,15%,,,2017
136498,179,90,89,0.64,0.52,0.76,71.7,69.8,73.7,98%,78%,,,,67%,,,2017
136458,176,176,,0.75,0.75,,74.5,74.5,,98%,66%,,,,63%,,,2017
138123,256,141,115,0,-0.14,0.18,47,45.6,48.7,42%,27%,,,,20%,,,2017
138124,54,27,27,-0.36,-0.35,-0.37,39.2,36.6,41.7,26%,2%,,,,0%,,,2017
138464,151,,151,0.94,,0.94,74,,74,99%,89%,,,,81%,,,2017
138614,158,78,80,-0.19,-0.39,0,44.8,42.4,47.2,30%,44%,,,,18%,,,2017
136377,233,108,125,0.4,0.16,0.62,53.8,51.1,56.1,61%,58%,,,,28%,,,2017
142288,28,16,12,-1.73,-1.86,-1.57,2.3,1.9,2.8,0%,0%,,,,0%,,,2017
106391,8,6,2,,,,,,,,,,,,,,,2017
106167,9,8,1,-2.73,,,2,,,0%,0%,,,,0%,,,2017
136378,125,125,,-0.26,-0.26,,42.7,42.7,,39%,20%,,,,8%,,,2017
106368,128,69,59,0.29,0.25,0.33,66,65,67.3,94%,77%,,,,65%,,,2017
106375,97,44,53,0.12,0.13,0.11,48.2,49.4,47.2,41%,55%,,,,29%,,,2017
137289,173,1,172,0.91,,,78.2,,,100%,84%,,,,83%,,,2017
141746,116,64,52,-0.41,-0.61,-0.16,37.4,35.6,39.6,21%,4%,,,,1%,,,2017
106524,147,81,66,-0.66,-1.01,-0.23,39.4,35.9,43.6,24%,37%,,,,12%,,,2017
106537,191,92,99,-0.16,-0.34,0.01,49.4,46.6,51.9,43%,45%,,,,24%,,,2017
137210,158,90,68,-0.38,-0.48,-0.25,39.1,37.9,40.7,15%,4%,,,,2%,,,2017
106538,246,130,116,-0.01,-0.23,0.24,51,47.6,54.9,42%,38%,,,,28%,,,2017
137448,242,119,123,-0.09,-0.34,0.16,48.5,45.9,50.9,37%,12%,,,,6%,,,2017
134297,1,,,,,,,,,,,,,,,,,2017
138233,50,31,19,-0.81,-0.71,-1,33.9,34.7,32.6,14%,4%,,,,0%,,,2017
138229,3,,,,,,,,,,,,,,,,,2017
106525,151,70,81,0.3,0.12,0.44,50.6,48.3,52.6,46%,12%,,,,8%,,,2017
106529,106,49,57,-0.34,-0.31,-0.36,45.3,45.9,44.8,35%,50%,,,,13%,,,2017
135557,8,5,3,,,,,,,,,,,,,,,2017
106535,195,105,90,-0.27,-0.54,0.05,44.4,39.2,50.4,38%,44%,,,,23%,,,2017
144519,,,,,,,,,,,,,,,,,,2017
135199,15,13,2,-2.91,,,3.1,,,0%,0%,,,,0%,,,2017
131530,19,12,7,-1.03,-1.01,-1.05,6.8,6.5,7.5,0%,0%,,,,0%,,,2017
137821,1,,,,,,,,,,,,,,,,,2017
138110,194,95,99,0,-0.39,0.36,49.5,46,52.7,45%,27%,,,,18%,,,2017
106521,174,83,91,-0.29,-0.7,0.09,45.4,40.6,49.7,37%,29%,,,,18%,,,2017
106528,166,81,85,-0.14,-0.21,-0.07,46,44.6,47.3,29%,24%,,,,5%,,,2017
138699,193,105,88,-0.27,-0.4,-0.11,46.4,44.1,49.1,48%,36%,,,,20%,,,2017
137783,122,54,68,-0.2,-0.53,0.07,45.5,41.1,49,26%,26%,,,,12%,,,2017
106543,12,7,5,,,,,,,,,,,,,,,2017
106523,123,66,57,-0.1,-0.31,0.15,43.6,39.3,48.6,30%,11%,,,,7%,,,2017
106534,233,109,124,-0.11,-0.2,-0.04,45.2,44.6,45.7,39%,20%,,,,9%,,,2017
106540,235,121,114,0.05,-0.03,0.13,52.6,52.1,53,48%,43%,,,,31%,,,2017
106531,246,122,124,0.37,0.16,0.58,54.3,50.8,57.7,61%,27%,,,,20%,,,2017
106656,207,105,102,-0.33,-0.37,-0.28,39.6,39.4,39.8,37%,5%,,,,3%,,,2017
143907,,,,,,,,,,,,,,,,,,2017
139210,145,80,65,0.53,0.37,0.71,47.6,45.7,50.1,50%,10%,,,,8%,,,2017
