URN,KS4 Pupils,KS4 Boys,KS4 Girls,Progress 8,Progress 8 Boys,Progress 8 Girls,Attainment 8,Attainment 8 Boys,Attainment 8 Girls,Eng Maths Grade 5,Entering EBacc,EBacc Avg Score,EBacc Avg Boys,EBacc Avg Girls,EBacc Grade 5,Progress 8 Band,P8 Desc,Academic Year
137558,210,112,98,0.12,0.03,0.24,54.4,52.9,56.1,75%,46%,,,,31%,,,2016
103106,174,88,86,0.09,-0.13,0.29,51.3,47.2,55.5,72%,22%,,,,16%,,,2016
103105,172,99,73,0.49,0.28,0.76,52,50,54.7,59%,45%,,,,30%,,,2016
133287,156,77,79,0.48,0.41,0.56,49.1,48.2,50,53%,57%,,,,21%,,,2016
132848,8,8,,,,,55.1,55.1,,88%,38%,,,,38%,,,2016
103101,164,94,70,0.15,0.14,0.15,52.3,51.4,53.6,79%,25%,,,,20%,,,2016
103098,101,101,,0.28,0.28,,50.1,50.1,,57%,23%,,,,11%,,,2016
103112,22,16,6,,,,51,50.3,53.2,68%,36%,,,,23%,,,2016
138859,126,67,59,-0.16,-0.61,0.23,47.5,45.8,49.5,50%,63%,,,,23%,,,2016
132727,156,83,73,0.21,0.21,0.21,51.1,51.1,51,69%,14%,,,,12%,,,2016
103103,176,,176,0.63,,0.63,57.3,,57.3,80%,73%,,,,48%,,,2016
103100,116,57,59,0.31,-0.03,0.61,49.3,43.7,54.7,50%,53%,,,,23%,,,2016
131697,7,5,2,-3.14,,,3.6,,,0%,0%,,,,0%,,,2016
138454,32,23,9,,,,,,,,,,,,,,,2016
140197,11,3,8,-1.38,,,6.5,,,9%,0%,,,,0%,,,2016
140795,16,8,8,-1.56,-1.67,-1.45,1.3,2.5,0,0%,0%,,,,0%,,,2016
103595,18,,18,,,,46.7,,46.7,61%,0%,,,,0%,,,2016
134034,18,,18,,,,56.2,,56.2,94%,67%,,,,39%,,,2016
103592,15,,15,,,,63.5,,63.5,100%,87%,,,,87%,,,2016
136063,10,10,,,,,65.7,65.7,,100%,90%,,,,50%,,,2016
133306,56,29,27,0.6,0.46,0.75,59,56.1,62.1,86%,84%,,,,55%,,,2016
136037,12,,12,,,,40.4,,40.4,25%,0%,,,,0%,,,2016
103541,181,96,85,-0.09,-0.35,0.2,50.7,48.4,53.2,63%,27%,,,,16%,,,2016
135406,49,33,16,,,,0.9,0.5,1.6,0%,0%,,,,0%,,,2016
140014,170,93,77,-0.06,-0.2,0.1,46.4,44.7,48.4,52%,12%,,,,4%,,,2016
137578,35,22,13,0.29,0.44,0.04,43.9,42.6,46.2,49%,66%,,,,29%,,,2016
135970,81,48,33,0.76,0.67,0.91,53.6,51.8,56.2,78%,75%,,,,35%,,,2016
138136,242,121,121,0.22,0.1,0.34,56.3,54.7,57.9,87%,57%,,,,40%,,,2016
136882,146,77,69,0.73,0.5,0.96,51.2,48.3,54.4,52%,18%,,,,14%,,,2016
138222,104,94,10,-0.41,-0.44,-0.11,42.2,42.1,43.3,41%,3%,,,,0%,,,2016
140382,27,11,16,,,,17.6,12.5,21.2,7%,0%,,,,0%,,,2016
103529,41,26,15,0.05,0.47,-0.66,43.2,45.3,39.5,44%,27%,,,,0%,,,2016
136589,170,105,65,-0.21,-0.34,-0.01,45.3,43.9,47.5,55%,15%,,,,12%,,,2016
139738,115,63,52,-0.88,-0.86,-0.91,33.6,31.1,36.5,21%,5%,,,,1%,,,2016
103591,26,,26,,,,49.3,,49.3,58%,50%,,,,15%,,,2016
136944,152,33,119,0,-0.12,0.04,54.1,52.8,54.5,76%,14%,,,,8%,,,2016
103560,177,104,73,0.35,0.31,0.41,58,56.6,60,80%,38%,,,,28%,,,2016
137988,123,123,,0.11,0.11,,68.5,68.5,,99%,80%,,,,75%,,,2016
140524,150,75,75,0.09,-0.14,0.33,56.8,53.5,60.2,75%,57%,,,,33%,,,2016
103493,120,,120,0.14,,0.14,47.4,,47.4,63%,81%,,,,28%,,,2016
141318,169,93,76,-0.06,-0.13,0.02,48.9,48.8,49.1,54%,47%,,,,28%,,,2016
139841,202,116,86,-0.19,-0.37,0.06,42,39.7,45.2,39%,29%,,,,5%,,,2016
103539,98,48,50,-0.13,-0.23,-0.03,47.9,48.7,47.2,54%,48%,,,,23%,,,2016
137819,1,,,,,,,,,,,,,,,,,2016
103513,232,118,114,-0.19,-0.34,-0.04,45.3,43.6,47.1,45%,57%,,,,18%,,,2016
103563,188,96,92,-0.22,-0.51,0.08,44.9,41.5,48.5,59%,31%,,,,14%,,,2016
103494,107,55,52,-0.24,-0.21,-0.26,46.2,46.1,46.2,54%,22%,,,,6%,,,2016
103586,13,13,,,,,49.6,49.6,,92%,0%,,,,0%,,,2016
141969,,,,,,,,,,,,,,,,,,2016
103567,70,,70,,,,64.4,,64.4,97%,86%,,,,64%,,,2016
134908,19,2,17,,,,47.7,,,0%,0%,,,,0%,,,2016
143413,,,,,,,,,,,,,,,,,,2016
136908,210,103,107,0.12,-0.04,0.27,54.2,53,55.3,75%,77%,,,,29%,,,2016
135561,80,36,44,,,,10.5,8.7,11.9,15%,1%,,,,1%,,,2016
139047,59,32,27,0.43,0.49,0.34,48.7,46.5,51.3,56%,12%,,,,8%,,,2016
135422,29,17,12,,,,1.8,2.4,1.1,0%,0%,,,,0%,,,2016
138695,139,80,59,0.22,0.25,0.19,45.6,44.2,47.5,38%,66%,,,,24%,,,2016
103550,371,213,158,-0.34,-0.51,-0.1,43.8,41,47.5,45%,9%,,,,4%,,,2016
135688,29,4,25,,,,15.3,,,14%,0%,,,,0%,,,2016
139048,137,62,75,-0.17,-0.16,-0.18,42.5,40.8,43.9,39%,33%,,,,10%,,,2016
137858,178,90,88,0.01,0.05,-0.03,51.6,51.4,51.7,61%,42%,,,,28%,,,2016
139746,172,86,86,0.11,0,0.21,49.4,46.3,52.5,65%,22%,,,,13%,,,2016
103549,149,149,,0.22,0.22,,65.5,65.5,,98%,46%,,,,44%,,,2016
138937,125,,125,-0.24,,-0.24,43.1,,43.1,56%,42%,,,,17%,,,2016
136213,109,64,45,-0.15,-0.26,0.03,41.4,40.6,42.4,40%,47%,,,,7%,,,2016
136123,19,,19,,,,46.2,,46.2,53%,0%,,,,0%,,,2016
135907,148,95,53,0.22,-0.05,0.68,52.3,49.9,56.6,72%,24%,,,,20%,,,2016
103576,43,17,26,,,,59.5,56.6,61.4,84%,67%,,,,42%,,,2016
137346,106,,106,0.05,,0.05,50.4,,50.4,59%,71%,,,,45%,,,2016
103503,214,141,73,-0.28,-0.18,-0.47,47.9,49.1,45.6,57%,32%,,,,18%,,,2016
103483,150,,150,-0.05,,-0.05,50.8,,50.8,69%,45%,,,,29%,,,2016
103509,185,92,93,0.06,-0.25,0.36,50.5,45.9,55,61%,50%,,,,25%,,,2016
103538,109,58,51,0.01,-0.26,0.31,47.5,45.9,49.3,52%,35%,,,,16%,,,2016
137034,186,102,84,0.3,0.09,0.54,50.6,47.3,54.6,67%,10%,,,,8%,,,2016
103518,111,64,47,-0.36,-0.59,-0.06,40.8,38.8,43.7,35%,21%,,,,7%,,,2016
134571,27,27,,,,,47.1,47.1,,63%,0%,,,,0%,,,2016
141003,,,,,,,,,,,,,,,,,,2016
138141,179,103,76,0.39,0.31,0.49,53.9,53.3,54.7,77%,39%,,,,27%,,,2016
141752,,,,,,,,,,,,,,,,,,2016
137053,202,107,95,-0.28,-0.28,-0.28,51.6,50.3,53.1,69%,52%,,,,31%,,,2016
103566,44,33,11,,,,55.6,55.7,55.5,82%,36%,,,,32%,,,2016
103497,129,93,36,0.27,0.21,0.42,51.6,50.9,53.6,69%,41%,,,,16%,,,2016
137560,32,11,21,,,,5.9,3.2,7.3,0%,0%,,,,0%,,,2016
142338,6,4,2,,,,0.8,,,0%,0%,,,,0%,,,2016
138059,115,64,51,0.09,-0.06,0.28,42.2,41.2,43.6,49%,44%,,,,23%,,,2016
103537,172,86,86,-0.07,-0.16,0.02,46.3,45,47.5,52%,11%,,,,6%,,,2016
103564,52,37,15,,,,49.7,48.3,53.2,58%,35%,,,,15%,,,2016
103534,129,74,55,0,-0.04,0.06,45.4,44.3,46.8,41%,56%,,,,17%,,,2016
103531,160,,160,0.51,,0.51,60.6,,60.6,86%,61%,,,,48%,,,2016
141835,199,100,99,-0.42,-0.64,-0.2,46.9,43.9,50,57%,40%,,,,21%,,,2016
141668,172,86,86,0.34,0.09,0.6,52.4,49.6,55.2,60%,80%,,,,42%,,,2016
103498,134,,134,0.45,,0.45,54.7,,54.7,72%,64%,,,,45%,,,2016
135911,140,77,63,-0.23,-0.07,-0.44,45.4,46.2,44.3,56%,16%,,,,5%,,,2016
103548,215,129,86,-0.27,-0.42,-0.05,46.5,44.8,49.1,46%,60%,,,,27%,,,2016
134403,5,,,,,,,,,,,,,,,,,2016
103258,,,,,,,,,,,,,,,,,,2016
138137,134,77,57,0.1,-0.14,0.44,45,41.5,49.7,48%,25%,,,,16%,,,2016
136778,146,,146,0.4,,0.4,72.2,,72.2,100%,65%,,,,64%,,,2016
103514,291,,291,0.34,,0.34,52.7,,52.7,63%,51%,,,,32%,,,2016
139962,3,,,,,,,,,,,,,,,,,2016
103500,93,93,,0.09,0.09,,46,46,,41%,15%,,,,11%,,,2016
103499,110,,110,0.42,,0.42,51.1,,51.1,65%,8%,,,,7%,,,2016
140863,,,,,,,,,,,,,,,,,,2016
139888,247,136,111,0.15,0,0.35,48.2,47.2,49.4,53%,28%,,,,18%,,,2016
142219,165,91,74,-0.23,-0.48,0.09,47.3,46.1,48.8,61%,60%,,,,27%,,,2016
139788,44,25,19,-0.61,-0.48,-0.77,39.7,39.1,40.5,27%,0%,,,,0%,,,2016
103501,113,113,,0.44,0.44,,52.6,52.6,,71%,38%,,,,20%,,,2016
131164,23,,23,,,,44.3,,44.3,48%,87%,,,,17%,,,2016
139994,173,104,69,-0.04,-0.05,-0.01,46.4,45.6,47.6,51%,6%,,,,5%,,,2016
103606,14,13,1,-1.3,,,8.7,,,7%,0%,,,,0%,,,2016
136513,12,9,3,,,,7.8,,,0%,0%,,,,0%,,,2016
103611,13,7,6,-1.44,,,8.3,8.6,8,0%,0%,,,,0%,,,2016
141252,29,14,15,-1.4,-1.45,-1.36,0.5,0,0.9,0%,0%,,,,0%,,,2016
103625,12,8,4,,,,,,,,,,,,,,,2016
103610,23,18,5,-1.84,,,0.2,,,0%,0%,,,,0%,,,2016
103609,29,28,1,-2.72,,,0.3,,,0%,0%,,,,0%,,,2016
103632,29,29,0,-2.28,-2.28,,8.4,8.4,,0%,0%,,,,0%,,,2016
103619,18,8,10,,,,,,,,,,,,,,,2016
103628,20,18,2,,,,,,,,,,,,,,,2016
135898,11,7,4,,,,1.3,,,0%,0%,,,,0%,,,2016
103614,3,,,,,,,,,,,,,,,,,2016
103616,36,30,6,-1.32,-1.32,-1.36,6.5,7,3.8,0%,0%,,,,0%,,,2016
139706,8,6,2,,,,4.5,,,0%,0%,,,,0%,,,2016
135208,5,,,,,,,,,,,,,,,,,2016
103613,43,36,7,-1.56,-1.52,-1.8,7.1,7.5,5.1,2%,0%,,,,0%,,,2016
138971,13,11,2,,,,4.9,,,0%,0%,,,,0%,,,2016
134982,30,21,9,,,,7.3,5.1,12.4,0%,0%,,,,0%,,,2016
103605,7,6,1,,,,,,,,,,,,,,,2016
132743,11,10,1,,,,7.5,,,0%,0%,,,,0%,,,2016
103601,15,10,5,,,,,,,,,,,,,,,2016
138281,16,12,4,-1.07,,,7.3,,,0%,0%,,,,0%,,,2016
103751,103,60,43,,,,37.5,35.6,40.1,0%,0%,,,,0%,,,2016
103727,118,61,57,-0.2,-0.21,-0.18,43.7,44.2,43.1,52%,15%,,,,7%,,,2016
103742,151,72,79,0.39,0.32,0.46,53.6,51.8,55.3,70%,81%,,,,43%,,,2016
137272,207,98,109,0.28,0.19,0.36,57.1,53.5,60.2,82%,82%,,,,55%,,,2016
139292,237,114,123,0.04,0.05,0.04,53.4,52.5,54.1,66%,33%,,,,17%,,,2016
103743,205,117,88,-0.06,-0.14,0.05,50.2,49,51.8,52%,32%,,,,18%,,,2016
141992,209,89,120,-0.24,-0.38,-0.15,48.2,46,49.8,62%,38%,,,,18%,,,2016
138023,265,132,133,0.07,0.04,0.11,50.3,48.6,51.9,73%,17%,,,,11%,,,2016
140958,,,,,,,,,,,,,,,,,,2016
140366,112,48,64,-0.56,-0.61,-0.53,43.1,42.1,43.9,49%,69%,,,,15%,,,2016
141939,,,,,,,,,,,,,,,,,,2016
136963,240,129,111,0.1,-0.05,0.27,55.8,52.1,60,75%,51%,,,,36%,,,2016
103732,168,91,77,-0.19,-0.41,0.06,41.8,38.7,45.4,40%,31%,,,,8%,,,2016
135335,146,77,69,-0.68,-0.81,-0.53,42.6,41.4,44,53%,18%,,,,1%,,,2016
103750,117,68,49,,,,26.9,26.9,26.8,0%,0%,,,,0%,,,2016
103733,115,63,52,-0.34,-0.31,-0.38,38.9,36.3,42.2,38%,4%,,,,2%,,,2016
103747,13,4,9,,,,55.8,,,92%,92%,,,,46%,,,2016
140248,202,115,87,0.65,0.54,0.8,51.5,49.7,53.8,66%,34%,,,,26%,,,2016
141104,,,,,,,,,,,,,,,,,,2016
136126,208,112,96,0.6,0.4,0.8,51.7,49.2,54.7,70%,70%,,,,35%,,,2016
103728,175,83,92,-0.06,-0.27,0.14,47.3,44.7,49.6,56%,26%,,,,13%,,,2016
137209,171,,171,-0.02,,-0.02,49.5,,49.5,57%,50%,,,,27%,,,2016
137225,83,40,43,0.04,-0.04,0.11,44.3,43.3,45.2,55%,22%,,,,10%,,,2016
136840,126,62,64,0.16,-0.01,0.33,52.8,51.5,54,77%,71%,,,,38%,,,2016
140961,103,80,23,-0.58,-0.66,-0.28,45.3,43.5,51.4,61%,13%,,,,9%,,,2016
137165,132,132,,-0.55,-0.55,,43.1,43.1,,56%,35%,,,,7%,,,2016
103765,10,6,4,,,,,,,,,,,,,,,2016
134533,19,16,3,-1.35,,,21,,,21%,0%,,,,0%,,,2016
141376,33,25,8,-1.67,-1.65,-1.73,0.8,0.9,0.6,0%,0%,,,,0%,,,2016
103760,14,11,3,,,,,,,,,,,,,,,2016
131574,17,17,0,-1.78,-1.78,,8.2,8.2,,0%,0%,,,,0%,,,2016
140126,120,68,52,0.05,-0.14,0.31,53.3,51.9,55.1,69%,31%,,,,23%,,,2016
137571,18,14,4,,,,1.7,,,0%,0%,,,,0%,,,2016
103867,111,56,55,-0.42,-0.47,-0.37,40.6,36.6,44.7,39%,9%,,,,5%,,,2016
103857,137,69,68,-0.72,-0.92,-0.51,44,40.2,47.9,51%,48%,,,,7%,,,2016
141325,137,71,66,-0.03,-0.25,0.21,45.2,40.3,50.4,49%,34%,,,,9%,,,2016
103855,213,100,113,-0.14,-0.31,0.01,52.7,50.5,54.7,63%,33%,,,,24%,,,2016
137812,239,110,129,-0.04,-0.14,0.06,50.7,48.6,52.5,67%,40%,,,,20%,,,2016
141570,200,105,95,-0.08,-0.14,-0.01,49.4,48.7,50.1,60%,59%,,,,16%,,,2016
103876,19,13,6,,,,20.3,21.4,18,42%,0%,,,,0%,,,2016
137705,235,129,106,-0.44,-0.65,-0.18,44.2,41.2,47.8,51%,18%,,,,11%,,,2016
103863,200,93,107,-0.36,-0.46,-0.27,43.5,40.3,46.2,39%,23%,,,,15%,,,2016
137390,147,67,80,-0.48,-0.7,-0.31,44,40.8,46.7,39%,41%,,,,17%,,,2016
137773,182,84,98,0.1,0.12,0.09,51.9,51.6,52.1,54%,13%,,,,9%,,,2016
103861,155,89,66,-0.13,-0.26,0.04,47.6,46,49.7,56%,49%,,,,34%,,,2016
134458,4,,,,,,,,,,,,,,,,,2016
103870,72,72,,0.43,0.43,,63.1,63.1,,89%,61%,,,,49%,,,2016
103859,108,51,57,-0.34,-0.52,-0.19,44.2,41.6,46.5,48%,22%,,,,10%,,,2016
139872,236,128,108,0.05,-0.11,0.25,53.8,52,55.8,68%,55%,,,,34%,,,2016
141712,159,78,81,-0.18,-0.33,-0.03,47.5,45.9,49.1,58%,19%,,,,11%,,,2016
103854,209,104,105,-0.38,-0.66,-0.1,49,45.3,52.7,65%,42%,,,,28%,,,2016
103853,249,137,112,-0.69,-0.89,-0.44,43.6,41.3,46.3,47%,38%,,,,13%,,,2016
136618,270,146,124,0.14,0.01,0.29,51.6,49.6,53.9,66%,28%,,,,16%,,,2016
103858,148,75,73,-0.2,-0.35,-0.06,48.6,47.9,49.2,56%,8%,,,,5%,,,2016
103878,13,7,6,-1.31,-1.31,-1.32,4.6,5.7,3.3,0%,0%,,,,0%,,,2016
103881,1,,,,,,,,,,,,,,,,,2016
103880,3,,,,,,,,,,,,,,,,,2016
103883,3,,,,,,,,,,,,,,,,,2016
103882,8,8,,-0.93,-0.93,,21,21,,0%,0%,,,,0%,,,2016
103877,36,27,9,-1.16,-1.29,-0.79,10.1,9.1,13.3,3%,0%,,,,0%,,,2016
139328,245,131,114,-0.85,-1.05,-0.62,39.7,36.4,43.5,39%,9%,,,,3%,,,2016
139043,186,101,85,-0.06,-0.18,0.09,45.6,44.5,47,56%,57%,,,,32%,,,2016
135234,182,86,96,0,-0.18,0.17,49.3,45.6,52.7,59%,45%,,,,26%,,,2016
141813,,,,,,,,,,,,,,,,,,2016
104018,235,121,114,0.02,-0.28,0.37,42.7,40.3,45.2,43%,18%,,,,10%,,,2016
135792,4,,,,,,,,,,,,,,,,,2016
137701,302,182,120,-0.46,-0.51,-0.39,42.6,42.2,43.2,56%,12%,,,,7%,,,2016
137673,152,77,75,0,0.08,-0.08,48.4,49.4,47.4,49%,33%,,,,22%,,,2016
135979,168,79,89,0.03,0.11,-0.03,48.5,47.6,49.2,55%,8%,,,,7%,,,2016
104012,236,134,102,-0.35,-0.51,-0.14,46.4,44.2,49.2,50%,35%,,,,21%,,,2016
136091,238,118,120,-0.09,-0.28,0.08,46.3,43,49.5,49%,11%,,,,6%,,,2016
135449,180,95,85,-0.2,-0.38,0,49.5,47.4,51.7,59%,22%,,,,14%,,,2016
141698,,,,,,,,,,,,,,,,,,2016
135599,171,88,83,-0.87,-0.98,-0.76,42.2,40.6,43.8,36%,16%,,,,5%,,,2016
104019,225,117,108,-0.06,-0.11,0.01,48.1,46.1,50.4,53%,20%,,,,13%,,,2016
134993,183,86,97,-0.29,-0.43,-0.16,50.5,47.1,53.5,60%,55%,,,,36%,,,2016
135170,176,112,64,0.3,0.28,0.36,46,46,45.9,44%,15%,,,,6%,,,2016
104020,149,72,77,-0.46,-0.5,-0.42,46.9,46.2,47.5,64%,9%,,,,7%,,,2016
139918,182,76,106,-0.95,-1.06,-0.87,37.2,35,38.7,34%,4%,,,,1%,,,2016
136616,243,136,107,-0.01,-0.03,0.01,50.3,48.5,52.7,49%,24%,,,,12%,,,2016
135518,8,5,3,,,,6.9,,,0%,0%,,,,0%,,,2016
132231,19,15,4,,,,,,,,,,,,,,,2016
104024,4,,,,,,,,,,,,,,,,,2016
132233,23,20,3,-1.65,,,2.1,,,0%,0%,,,,0%,,,2016
136994,250,141,109,0.32,0.22,0.44,56,54.6,57.9,81%,54%,,,,38%,,,2016
136333,235,122,113,0.27,0.18,0.38,59.5,57.6,61.6,80%,69%,,,,51%,,,2016
135684,231,112,119,-0.67,-0.9,-0.46,48,46,49.8,61%,20%,,,,13%,,,2016
129342,142,69,73,-0.05,0.06,-0.15,49.5,50.2,48.8,70%,1%,,,,0%,,,2016
136909,202,96,106,-0.16,-0.27,-0.07,54.4,51.2,57.3,71%,35%,,,,28%,,,2016
136347,131,72,59,-0.06,-0.22,0.13,50,49.8,50.3,67%,64%,,,,31%,,,2016
137007,195,91,104,0,-0.17,0.15,51.9,47.3,55.9,66%,58%,,,,36%,,,2016
137231,233,122,111,-0.25,-0.3,-0.19,50.4,48.9,52.1,66%,50%,,,,24%,,,2016
137008,199,102,97,-0.19,-0.45,0.07,49.3,46.9,51.9,59%,33%,,,,27%,,,2016
142075,262,145,117,-0.33,-0.51,-0.11,47.1,44.9,50,48%,24%,,,,15%,,,2016
135971,202,105,97,-0.03,-0.23,0.2,49.4,46.3,52.8,47%,29%,,,,7%,,,2016
104123,28,,28,,,,69.1,,69.1,100%,89%,,,,89%,,,2016
104119,202,114,88,0.07,-0.06,0.25,56.2,54.3,58.6,75%,68%,,,,39%,,,2016
104118,215,114,101,-0.37,-0.45,-0.29,45.1,44.2,46,47%,48%,,,,18%,,,2016
104124,105,66,39,,,,69.6,68.7,70.9,98%,0%,,,,0%,,,2016
136310,240,117,123,0.58,0.56,0.6,61.3,60.6,62,90%,75%,,,,51%,,,2016
142900,,,,,,,,,,,,,,,,,,2016
104132,13,10,3,-1.9,,,0.6,,,0%,0%,,,,0%,,,2016
104130,13,10,3,-1.32,,,6.5,,,0%,0%,,,,0%,,,2016
135453,6,5,1,,,,,,,,,,,,,,,2016
104133,3,,,,,,,,,,,,,,,,,2016
141171,7,6,1,-2.8,,,10.3,,,0%,0%,,,,0%,,,2016
104131,11,9,2,,,,,,,,,,,,,,,2016
135483,36,36,,,,,53,53,,83%,0%,,,,0%,,,2016
132750,42,,42,,,,50.3,,50.3,50%,12%,,,,2%,,,2016
137974,249,142,107,-0.03,-0.06,0.02,50.8,50.5,51.2,66%,61%,,,,30%,,,2016
136885,258,126,132,0.11,0.01,0.21,53.7,53.3,54,79%,29%,,,,26%,,,2016
137274,107,53,54,-1.36,-1.53,-1.18,29.6,27.6,31.4,28%,1%,,,,1%,,,2016
138606,84,48,36,-0.01,-0.1,0.11,41.3,40.6,42.2,43%,35%,,,,19%,,,2016
104248,120,53,67,-0.23,-0.43,-0.07,48.3,46.8,49.4,65%,76%,,,,11%,,,2016
130323,6,4,2,,,,52.3,,,50%,17%,,,,0%,,,2016
135956,111,66,45,-0.05,-0.31,0.35,45.9,43.3,49.7,50%,22%,,,,17%,,,2016
104266,25,14,11,,,,59.8,61.3,57.8,92%,24%,,,,24%,,,2016
137830,195,95,100,-0.11,-0.04,-0.17,44.9,44.9,44.9,50%,35%,,,,10%,,,2016
135769,230,126,104,-0.63,-0.88,-0.34,41.8,39.7,44.3,40%,48%,,,,18%,,,2016
104267,41,,41,,,,45.4,,45.4,37%,49%,,,,22%,,,2016
104251,187,99,88,-0.03,-0.09,0.05,51.9,49.8,54.3,57%,7%,,,,4%,,,2016
136773,95,95,,0.5,0.5,,72.8,72.8,,99%,93%,,,,87%,,,2016
136777,94,,94,0.25,,0.25,69.6,,69.6,99%,99%,,,,91%,,,2016
104255,179,102,77,-0.15,-0.21,-0.06,51.1,49.6,53.2,62%,26%,,,,13%,,,2016
104259,225,120,105,-0.27,-0.44,-0.08,48.2,45.5,51.2,50%,23%,,,,12%,,,2016
136620,237,124,113,-0.23,-0.39,-0.05,50.5,48.8,52.5,64%,43%,,,,29%,,,2016
137707,237,121,116,-0.11,-0.36,0.16,50,47.4,52.7,69%,23%,,,,16%,,,2016
133697,163,75,88,0.14,-0.13,0.39,54.7,52,57.1,70%,75%,,,,40%,,,2016
139789,54,19,35,-1.35,-1.32,-1.36,34.5,31.2,36.3,28%,0%,,,,0%,,,2016
138374,140,79,61,-0.53,-0.84,-0.13,38.1,34.7,42.4,41%,19%,,,,9%,,,2016
137706,244,124,120,-0.66,-0.88,-0.43,41.3,41.3,41.3,40%,7%,,,,7%,,,2016
104269,16,11,5,,,,,,,,,,,,,,,2016
135461,8,7,1,-2.94,,,2.1,,,0%,0%,,,,0%,,,2016
104271,24,19,5,-1.32,,,8.6,,,0%,0%,,,,0%,,,2016
104272,8,5,3,,,,,,,,,,,,,,,2016
139138,121,62,59,0.44,0.17,0.73,50.6,49,52.4,62%,12%,,,,8%,,,2016
142080,,,,,,,,,,,,,,,,,,2016
104395,116,65,51,-0.22,-0.26,-0.16,42.3,40.3,44.8,55%,32%,,,,21%,,,2016
104390,157,74,83,-0.33,-0.47,-0.2,48.6,45.3,51.5,62%,20%,,,,16%,,,2016
137730,175,83,92,0.4,0.27,0.51,54.3,53,55.5,70%,8%,,,,7%,,,2016
104386,250,139,111,0.39,0.31,0.5,53.2,51.3,55.5,74%,19%,,,,18%,,,2016
131547,105,43,62,-0.91,-1.27,-0.68,40.3,35,44,39%,57%,,,,12%,,,2016
104397,133,72,61,-0.63,-0.68,-0.56,41.7,40,43.6,38%,14%,,,,8%,,,2016
138098,132,68,64,0.52,0.44,0.62,52,51.3,52.7,74%,1%,,,,0%,,,2016
136182,153,78,75,-0.6,-0.61,-0.58,44.2,43.9,44.5,46%,12%,,,,3%,,,2016
141802,126,70,56,-0.31,-0.55,-0.02,44.7,42.3,47.7,54%,40%,,,,12%,,,2016
104405,16,11,5,,,,59.8,,,81%,31%,,,,31%,,,2016
139891,144,69,75,0.02,-0.1,0.13,49.4,44.6,53.7,71%,38%,,,,24%,,,2016
138852,163,81,82,-0.09,-0.26,0.08,54,52.9,55,74%,66%,,,,29%,,,2016
104387,89,51,38,-0.83,-1.16,-0.38,37.6,30.8,46.7,47%,8%,,,,4%,,,2016
140586,160,65,95,0.13,0.06,0.18,49.4,47.6,50.6,56%,39%,,,,13%,,,2016
135983,132,61,71,-0.04,0.02,-0.09,45.3,45.4,45.2,39%,6%,,,,3%,,,2016
104407,28,14,14,,,,54,55.7,52.2,57%,36%,,,,25%,,,2016
141245,138,75,63,-0.52,-0.65,-0.35,44.2,44.3,44.1,49%,6%,,,,4%,,,2016
140160,,,,,,,,,,,,,,,,,,2016
140798,108,,108,0.41,,0.41,73.5,,73.5,100%,90%,,,,90%,,,2016
104411,72,38,34,,,,53.1,51.4,54.9,0%,0%,,,,0%,,,2016
104415,5,,,,,,,,,,,,,,,,,2016
134261,16,15,1,-2.01,,,8.1,,,0%,0%,,,,0%,,,2016
142086,,,,,,,,,,,,,,,,,,2016
104412,14,11,3,-1.63,,,4.1,,,0%,0%,,,,0%,,,2016
104417,4,,,,,,,,,,,,,,,,,2016
104414,7,5,2,,,,,,,,,,,,,,,2016
104413,22,14,8,-1.75,-1.87,-1.53,0.9,0.5,1.6,0%,0%,,,,0%,,,2016
135479,181,105,76,-1.06,-1.29,-0.74,36.2,32.3,41.6,29%,4%,,,,2%,,,2016
139614,177,90,87,-0.77,-0.95,-0.57,43.8,42.4,45.3,44%,18%,,,,10%,,,2016
140001,182,93,89,-0.76,-0.74,-0.77,38.3,39.1,37.4,38%,9%,,,,3%,,,2016
140412,171,81,90,-0.63,-0.91,-0.38,41.8,38.4,44.9,40%,56%,,,,16%,,,2016
135477,183,89,94,-1.07,-1.08,-1.05,39.5,39.8,39.3,44%,26%,,,,16%,,,2016
135481,207,111,96,-0.76,-0.89,-0.61,43.3,41.6,45.2,50%,35%,,,,18%,,,2016
104498,23,19,4,-2.32,,,1.1,,,0%,0%,,,,0%,,,2016
104495,19,12,7,,,,,,,,,,,,,,,2016
141033,5,,,,,,,,,,,,,,,,,2016
136752,1,,,,,,,,,,,,,,,,,2016
101857,142,83,59,-0.74,-0.67,-0.83,38.6,39.4,37.4,19%,49%,,,,6%,,,2016
104693,250,129,121,-0.62,-0.59,-0.65,42.5,42.4,42.6,35%,32%,,,,17%,,,2016
104717,151,82,69,-0.43,-0.63,-0.2,44.9,42.1,48.2,47%,55%,,,,23%,,,2016
104705,137,,137,-0.02,,-0.02,54.3,,54.3,74%,58%,,,,35%,,,2016
138878,29,16,13,,,,9.9,8.8,11.4,0%,0%,,,,0%,,,2016
132119,10,7,3,,,,34.5,,,50%,20%,,,,20%,,,2016
138183,141,,141,0,,0,51.3,,51.3,70%,35%,,,,22%,,,2016
135174,116,,116,0.17,,0.17,63.4,,63.4,94%,51%,,,,49%,,,2016
137916,119,66,53,0.32,0.29,0.35,73.5,72.6,74.7,100%,92%,,,,90%,,,2016
104696,185,98,87,-0.57,-0.59,-0.55,41.7,40.1,43.6,43%,36%,,,,17%,,,2016
