URN,KS5 Pupils,Avg A-level Points,Avg A-level Grade,Academic Year
137436,245,31.5,C,2018
104962,119,33.81,C+,2018
130490,2250,32.74,C+,2018
137520,166,20.31,D,2018
104960,211,27.03,C-,2018
104973,159,40.71,B,2018
104974,134,38.4,B,2018
137612,178,34.12,C+,2018
104961,254,24.39,D+,2018
104972,80,34.92,C+,2018
141338,66,21.9,D+,2018
105106,95,23.41,D+,2018
135877,150,30.6,C,2018
105123,96,42.51,B+,2018
144829,1164,29.1,C,2018
139144,422,35.67,B-,2018
138355,188,22.78,D+,2018
105101,55,21.53,D,2018
105107,105,27.2,C-,2018
136780,179,31.75,C+,2018
139031,301,29.17,C,2018
143554,151,23.69,D+,2018
141131,3,,,2018
105103,160,18.5,D,2018
136895,81,16.9,D-,2018
137929,219,37.21,B-,2018
137815,316,31.45,C,2018
137243,318,36.87,B-,2018
137476,264,33.33,C+,2018
137171,291,41.87,B+,2018
130493,1826,,,2018
136185,227,28.26,C-,2018
130622,3162,32.32,C+,2018
111457,142,26.56,C-,2018
138198,61,,,2018
135731,115,21.12,D,2018
136779,12,29.07,C,2018
139840,167,21.78,D+,2018
141598,95,27.15,C-,2018
139152,301,27.5,C-,2018
138732,354,36.47,B-,2018
144782,1760,26.83,C-,2018
142899,102,18.55,D,2018
130617,1935,,,2018
111478,64,38.58,B,2018
139139,199,35.74,B-,2018
140108,226,33.72,C+,2018
136279,271,33.57,C+,2018
130619,3798,29.18,C,2018
136655,201,33.19,C+,2018
142890,79,8.82,E,2018
138662,90,25.79,C-,2018
137449,216,33.88,C+,2018
138002,169,33.23,C+,2018
140813,47,20.58,D,2018
130621,1216,,,2018
111419,138,26.09,C-,2018
111436,320,33.03,C+,2018
130623,1882,,,2018
136340,295,32.66,C+,2018
137491,241,30.2,C,2018
136278,313,33.28,C+,2018
111473,223,42.19,B+,2018
140791,217,35.64,B-,2018
111443,443,33.83,C+,2018
111484,74,34.42,C+,2018
111424,254,32.37,C+,2018
136645,286,32.62,C+,2018
144742,32,,,2018
111451,108,29.45,C,2018
111440,274,32.07,C+,2018
138318,268,28.84,C,2018
143817,105,20.26,D,2018
130626,1683,38.02,B-,2018
111450,137,31.42,C,2018
138483,191,31.3,C,2018
136543,162,28.43,C,2018
139343,155,32.07,C+,2018
111471,170,44.48,B+,2018
111482,77,26.38,C-,2018
111485,220,45.86,A-,2018
111486,110,45.23,A-,2018
111429,171,27.3,C-,2018
135941,79,20.99,D,2018
111422,237,34.93,C+,2018
135598,114,27.77,C-,2018
130579,2594,,,2018
118131,202,41.83,B+,2018
135945,143,30.58,C,2018
118117,534,35.2,B-,2018
130580,1396,27.2,C-,2018
130581,1918,32.76,C+,2018
136995,116,31.98,C+,2018
118072,110,33.83,C+,2018
130584,1678,,,2018
118111,81,36.07,B-,2018
136921,67,28.86,C,2018
143854,210,31.81,C+,2018
130582,1129,16.73,D-,2018
134589,42,26.32,C-,2018
145929,,,,2018
137316,14,,,2018
118085,89,18.75,D,2018
137306,154,32.19,C+,2018
118082,143,32.43,C+,2018
118126,69,34.11,C+,2018
118073,107,28.67,C,2018
118132,171,38.84,B,2018
118080,169,29.43,C,2018
136667,412,32.33,C+,2018
118075,70,23.77,D+,2018
143588,178,32.74,C+,2018
144561,232,29.9,C,2018
134821,226,32.86,C+,2018
130586,1505,27.59,C-,2018
130585,2971,11.35,E,2018
135294,51,23.38,D+,2018
118124,25,26.22,C-,2018
136268,288,30.48,C,2018
118109,22,21.24,D,2018
142130,31,1.05,U,2018
130588,1694,32.34,C+,2018
118112,51,26.84,C-,2018
137742,52,31.7,C+,2018
135065,4,,,2018
137453,77,32.16,C+,2018
121735,265,41.62,B,2018
121758,168,36.08,B-,2018
121699,57,22.56,D+,2018
121667,196,28.18,C-,2018
130591,1285,21.56,D,2018
121664,97,35.64,B-,2018
121716,255,35.31,B-,2018
121733,30,36.42,B-,2018
121740,135,36.12,B-,2018
136497,580,36.04,B-,2018
138190,62,25.53,C-,2018
121741,98,40.21,B,2018
121687,208,30.14,C,2018
121671,143,33.33,C+,2018
121681,174,28.12,C-,2018
121678,184,31.4,C,2018
136728,98,33.1,C+,2018
137412,28,31.22,C,2018
121743,337,50.2,A,2018
121749,116,43.7,B+,2018
121748,23,24.64,D+,2018
121680,248,30.32,C,2018
121694,295,42.67,B+,2018
136896,215,30.08,C,2018
121730,85,,,2018
130593,1000,31.48,C,2018
142884,47,9.05,E,2018
130592,1146,30.43,C,2018
121689,84,32.32,C+,2018
121695,96,23.76,D+,2018
136664,246,39.23,B,2018
136736,369,29.26,C,2018
137139,647,33.52,C+,2018
121717,358,33.52,C+,2018
141930,187,34.54,C+,2018
121693,223,33.8,C+,2018
131124,349,39.41,B,2018
121679,34,19.79,D,2018
121666,128,28.68,C,2018
132913,1005,33.52,C+,2018
121720,452,36.71,B-,2018
136617,261,39.57,B,2018
130595,2171,,,2018
121722,171,42.06,B+,2018
141555,28,28.11,C-,2018
121684,260,37.79,B-,2018
121673,280,36.93,B-,2018
121711,179,29.74,C,2018
121724,255,45.45,A-,2018
121726,51,37.36,B-,2018
130594,3473,32.19,C+,2018
130524,4456,28.96,C,2018
106653,206,39.75,B,2018
137066,40,,,2018
140177,121,19.57,D,2018
138116,61,21.51,D,2018
135942,50,15.2,D-,2018
137472,127,22.95,D+,2018
137842,573,32.05,C+,2018
106812,96,38.13,B-,2018
144714,452,,,2018
135963,91,22.51,D+,2018
143938,156,32.66,C+,2018
137603,212,29.7,C,2018
136675,83,19.31,D,2018
144364,57,34.92,C+,2018
136672,63,31.04,C,2018
140865,241,35.09,B-,2018
135007,171,29.85,C,2018
136718,211,29.64,C,2018
136301,202,28.41,C,2018
141730,140,28.04,C-,2018
136042,166,32.51,C+,2018
130527,3363,,,2018
143141,64,26.9,C-,2018
130530,1292,29.5,C,2018
