URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
140469,10,6,4,-0.2,104,70%,40%,3,Average,-6.3,102,70%,10%,5,Well Below Average,-5,96,40%,10%,5,Well Below Average,40%,0%,2018
112269,30,15,15,1.7,108,97%,33%,3,Average,-0.2,106,77%,33%,3,Average,-0.1,106,80%,33%,3,Average,70%,20%,2018
102762,117,67,50,4,107,91%,38%,1,Well Above Average,4.6,114,95%,85%,1,Well Above Average,7.3,110,93%,66%,1,Well Above Average,85%,18%,2018
101916,30,21,9,3.5,109,97%,47%,1,Well Above Average,0.8,113,100%,67%,3,Average,8.2,113,97%,83%,1,Well Above Average,80%,20%,2018
112209,30,16,14,7,110,87%,53%,1,Well Above Average,1.7,109,83%,50%,3,Average,6.1,108,80%,47%,1,Well Above Average,77%,0%,2018
142247,58,21,37,0.9,108,79%,31%,3,Average,1.6,107,84%,28%,2,Above Average,0.1,107,84%,24%,3,Average,71%,14%,2018
124040,45,20,25,1,104,51%,16%,3,Average,4.1,107,67%,33%,1,Well Above Average,3.6,107,76%,20%,1,Well Above Average,49%,4%,2018
131510,29,17,12,0.4,107,79%,45%,3,Average,1.6,113,100%,76%,3,Average,3.9,109,93%,45%,1,Well Above Average,76%,24%,2018
107851,36,20,16,-2.9,102,58%,11%,5,Well Below Average,0.4,104,69%,22%,3,Average,-2.8,101,53%,8%,4,Below Average,44%,3%,2018
102486,79,39,40,-3.1,102,70%,19%,5,Well Below Average,0.1,104,66%,25%,3,Average,-1.6,103,73%,20%,4,Below Average,61%,8%,2018
112145,65,34,31,-5,100,54%,6%,5,Well Below Average,-0.6,107,80%,45%,3,Average,-2.6,102,63%,11%,4,Below Average,49%,5%,2018
138555,19,10,9,3,109,84%,53%,2,Above Average,-0.4,108,89%,42%,3,Average,0.6,106,95%,16%,3,Average,84%,11%,2018
106327,60,28,32,-1,106,83%,35%,3,Average,-0.7,110,85%,48%,3,Average,0,106,80%,42%,3,Average,78%,17%,2018
138033,60,36,24,3,107,88%,33%,2,Above Average,1.7,106,85%,32%,2,Above Average,3.2,107,82%,43%,1,Well Above Average,75%,12%,2018
144863,59,37,22,3.9,108,92%,47%,1,Well Above Average,2,108,88%,46%,2,Above Average,3.2,107,85%,36%,1,Well Above Average,80%,15%,2018
140193,43,23,20,-1.9,101,53%,19%,3,Average,0.5,102,63%,21%,3,Average,-2.5,99,53%,12%,4,Below Average,40%,7%,2018
142450,57,33,24,-1.1,100,58%,12%,3,Average,-0.2,101,51%,9%,3,Average,-2.9,98,37%,4%,4,Below Average,32%,2%,2018
145018,25,13,12,-1.9,101,48%,20%,3,Average,-1.9,104,68%,24%,3,Average,-1.5,100,60%,4%,3,Average,48%,4%,2018
143571,32,19,13,3.6,103,72%,25%,1,Well Above Average,0.7,107,81%,38%,3,Average,3,102,69%,9%,2,Above Average,56%,0%,2018
120619,26,15,11,-2.5,104,62%,27%,4,Below Average,-1.6,106,73%,35%,3,Average,-3.6,102,54%,19%,5,Well Below Average,50%,15%,2018
113289,28,18,10,0.7,102,79%,7%,3,Average,1.4,104,75%,11%,3,Average,1.7,103,68%,21%,3,Average,54%,0%,2018
110992,30,14,16,2,104,63%,37%,3,Average,2.6,103,67%,30%,2,Above Average,2.7,103,73%,33%,2,Above Average,60%,13%,2018
143164,23,15,8,2.7,101,57%,9%,2,Above Average,6.7,103,70%,26%,1,Well Above Average,3.4,102,83%,13%,1,Well Above Average,57%,4%,2018
118369,30,13,17,3.7,108,83%,57%,1,Well Above Average,-0.1,105,73%,37%,3,Average,0.7,104,87%,23%,3,Average,70%,13%,2018
